eff_category,business_segment,to_norm,labels,Résultat 1,Siren
7.5,27,0.1397421720048213,3,21017.0,318024775
1.5,25,0.1390906701883081,1,-26000.0,318188737
7.5,15,0.13859008200481368,2,-62126.0,318208816
1.5,21,0.1399530575599506,4,36236.0,318251741
0.0,12,0.1432316150135162,0,272840.0,318354636
1.5,25,0.1400161749594916,1,40791.0,318635141
4.0,26,0.1400161749594916,1,40791.0,318635141
7.5,19,0.13950465381699875,2,3876.0,318637238
7.5,31,0.14135610677468632,3,137490.0,318673563
7.5,19,0.1399265912080026,2,34326.0,318686235
7.5,27,0.14033930001764655,3,64110.0,318759305
7.5,19,0.13928962509996765,2,-11642.0,318883600
4.0,30,0.139228821774131,3,-16030.0,318895513
4.0,26,0.13982849942504968,1,27247.0,318908910
7.5,27,0.1395831383287441,3,9540.0,319098968
0.0,28,0.13632375858779425,1,-225680.0,319265922
0.0,24,0.13937643750570292,1,-5377.0,319503421
7.5,31,0.14148803668929216,3,147011.0,319523726
7.5,23,0.14238122756898727,2,211470.0,319559654
4.0,22,0.14238122756898727,2,211470.0,319559654
4.0,22,0.14238122756898727,2,211470.0,319559654
4.0,22,0.14238122756898727,2,211470.0,319559654
7.5,23,0.14238122756898727,2,211470.0,319559654
0.0,20,0.13980027326854805,4,25210.0,319588539
0.0,20,0.13980027326854805,4,25210.0,319588539
7.5,19,0.13979995456378635,2,25187.0,319673216
4.0,22,0.13976601943503206,2,22738.0,319713053
4.0,26,0.1394564878277991,1,400.0,320052525
0.0,12,0.14439779730668148,0,357000.0,320130222
7.5,15,0.14439779730668148,2,357000.0,320130222
0.0,12,0.14439779730668148,0,357000.0,320130222
4.0,22,0.14010036844348958,2,46867.0,320130735
7.5,19,0.13950788243480183,2,4109.0,320228547
0.0,24,0.13948585023605978,1,2519.0,320278559
0.0,24,0.1505672286563248,1,802230.0,320407695
0.0,12,0.1376466604833324,0,-130210.0,320543804
0.0,28,0.14012978627866532,1,48990.0,320672967
1.5,17,0.13986822666642926,4,30114.0,320696230
7.5,15,0.13955283366292717,2,7353.0,320772932
4.0,30,0.13978572370334102,3,24160.0,320798390
7.5,27,0.13806970641263772,3,-99680.0,320817232
7.5,23,0.1400906964468091,2,46169.0,321007098
7.5,15,0.14127074932547176,2,131330.0,321068819
0.0,12,0.14127074932547176,0,131330.0,321068819
0.0,12,0.14127074932547176,0,131330.0,321068819
0.0,12,0.14127074932547176,0,131330.0,321068819
4.0,14,0.14029731412947768,0,61080.0,321176240
0.0,20,0.13988653140513257,4,31435.0,321301780
7.5,31,0.13985010206519993,3,28806.0,321435521
0.0,28,0.13985010206519993,1,28806.0,321435521
4.0,14,0.14002182850482917,0,41199.0,321435810
4.0,14,0.14128805637970374,0,132579.0,321657280
1.5,13,0.13946825219052364,0,1249.0,321690935
4.0,18,0.14013973540992117,2,49708.0,321760860
7.5,27,0.13981166349959584,3,26032.0,321775512
0.0,28,0.14247981819417585,1,218585.0,321832313
7.5,31,0.14247981819417585,3,218585.0,321832313
7.5,27,0.1390921251448288,3,-25895.0,321906216
4.0,22,0.1427076366718604,2,235026.0,322307018
0.0,16,0.1393856106601477,4,-4715.0,322416405
0.0,28,0.1473452066561351,1,569706.0,322440496
4.0,18,0.13948342530852526,2,2344.0,322623869
7.5,15,0.1403510505236423,2,64958.0,322707712
7.5,19,0.13761966757569116,2,-132158.0,322777301
1.5,17,0.13949132364392336,4,2914.0,322804329
7.5,23,0.14118284223816377,2,124986.0,322904913
0.0,28,0.14353069864725765,1,294424.0,323025783
7.5,19,0.13986664699934964,2,30000.0,323068833
0.0,28,0.14507551605402488,1,405909.0,323287334
1.5,17,0.1399698380584894,4,37447.0,323339382
1.5,25,0.13905895213615677,1,-28289.0,323376293
0.0,16,0.1448554850579083,4,390030.0,323553255
7.5,31,0.14135279501651063,3,137251.0,323562843
1.5,17,0.14570032981092979,4,451000.0,323592097
0.0,16,0.14570032981092979,4,451000.0,323592097
1.5,17,0.14570032981092979,4,451000.0,323592097
4.0,14,0.13941270056489033,0,-2760.0,323599472
7.5,27,0.14056301690361558,3,80255.0,323636688
0.0,16,0.13924919116542087,4,-14560.0,323659573
1.5,29,0.13923810578240597,1,-15360.0,323783035
0.0,28,0.13923810578240597,1,-15360.0,323783035
4.0,22,0.13938850671646036,2,-4506.0,323801688
7.5,23,0.13962767385500638,2,12754.0,323944207
1.5,29,0.13904771432912544,1,-29100.0,323962217
7.5,15,0.13967398304255102,2,16096.0,323973222
1.5,17,0.13922599500146224,4,-16234.0,323998534
1.5,29,0.13970791817130535,1,18545.0,324005248
7.5,15,0.140152442030202,2,50625.0,324044668
4.0,18,0.13966047273200166,2,15121.0,324154020
7.5,27,0.1401682248442694,3,51764.0,324166453
7.5,23,0.13953548503850888,2,6101.0,324180017
7.5,23,0.14001671537191357,2,40830.0,324206309
1.5,25,0.1411652164791701,1,123714.0,324240514
7.5,19,0.13957759563723665,2,9140.0,324332493
4.0,18,0.14006707072425864,2,44464.0,324333053
1.5,13,0.1392892371115621,0,-11670.0,324432632
1.5,17,0.13960281488359552,4,10960.0,324443399
7.5,27,0.14061795883318307,3,84220.0,324479476
0.0,28,0.14539757414406468,1,429151.0,324665322
4.0,22,0.1400062812551508,2,40077.0,324683648
4.0,26,0.1399033396171289,1,32648.0,324699149
1.5,25,0.1399033396171289,1,32648.0,324699149
4.0,14,0.140832280857047,0,99687.0,324732585
1.5,13,0.13946671409363032,0,1138.0,324768597
1.5,21,0.13958996969602702,4,10033.0,325167807
1.5,29,0.13893165036895966,1,-37476.0,325203867
7.5,19,0.1402298872872897,2,56214.0,325204782
0.0,12,0.13894718376190926,0,-36355.0,325289783
0.0,12,0.1399490529653365,0,35947.0,325355881
4.0,14,0.1399490529653365,0,35947.0,325355881
0.0,20,0.14057856415329395,4,81377.0,325373421
1.5,21,0.13991403701173824,4,33420.0,325720266
4.0,22,0.13977926646773484,2,23694.0,325750966
0.0,24,0.13964493933905206,1,14000.0,325765469
0.0,12,0.13973413510213553,0,20437.0,325866234
4.0,18,0.13976730811080754,2,22831.0,325894152
7.5,19,0.13630925059277355,2,-226727.0,326016367
0.0,28,0.1396511748669979,1,14450.0,326016946
0.0,24,0.1493372361271801,1,713465.0,326102613
4.0,26,0.1493372361271801,1,713465.0,326102613
1.5,25,0.1493372361271801,1,713465.0,326102613
0.0,16,0.14062375094580834,4,84638.0,326116266
7.5,31,0.13973762699778522,3,20689.0,326185733
1.5,29,0.13961528593948724,1,11860.0,326225026
7.5,31,0.13963274541773568,3,13120.0,326366051
7.5,31,0.13963274541773568,3,13120.0,326366051
0.0,20,0.13939450668001716,4,-4073.0,326422292
1.5,13,0.14051681856990106,0,76921.0,326447703
7.5,31,0.13946149010688458,3,761.0,326535481
0.0,16,0.1333846217054155,4,-437789.0,326604907
4.0,18,0.1401018649701966,2,46975.0,326615804
4.0,14,0.14047366871651565,0,73807.0,326627247
7.5,19,0.14005135719383505,2,43330.0,326675725
7.5,23,0.13959023297387363,2,10052.0,326767548
1.5,13,0.14855646488798463,0,657119.0,326791993
1.5,21,0.14083453950383626,4,99850.0,326831567
0.0,12,0.14744554322914852,0,576947.0,326966140
7.5,31,0.1377998743333268,3,-119153.0,327005385
0.0,16,0.13906062880033776,4,-28168.0,327016234
7.5,19,0.13906062880033776,2,-28168.0,327016234
7.5,15,0.13971355785991416,2,18952.0,327060638
7.5,19,0.13877362823408254,2,-48880.0,327112199
7.5,19,0.14431364539286978,2,350927.0,327125027
1.5,17,0.14431364539286978,4,350927.0,327125027
1.5,21,0.13937804488624006,4,-5261.0,327179909
1.5,29,0.1394734761772694,1,1626.0,327299368
1.5,21,0.1390350215655734,4,-30016.0,327310777
1.5,21,0.1390350215655734,4,-30016.0,327310777
